experiment_name,model_type,num_layers,units,dropout,epochs,batch_size,train_time_sec,mae,mse,rmse
GRU_L3_E32_B50,GRU,3,"[50, 50, 50]",0.2,32,50,32.47061810000014,1.5741888599478329,3.983757848934285,1.9959353318517825
GRU_L3_E25_B64,GRU,3,"[50, 50, 50]",0.2,25,64,21.260781399999814,2.070851775990937,6.510592660668624,2.5515863028062804
RNN_L3_E32_B50,RNN,3,"[50, 50, 50]",0.2,32,50,24.94797749999998,3.392434949998732,16.200192222164308,4.024946238419131
RNN_L3_E25_B64,RNN,3,"[50, 50, 50]",0.2,25,64,7.858982400000059,3.7052871571990846,22.278823402546216,4.72004485175154
LSTM_L3_E32_B50,LSTM,3,"[50, 50, 50]",0.2,32,50,22.18394420000004,4.444530338435979,28.57864939808711,5.3459002420628
LSTM_L3_E25_B64,LSTM,3,"[50, 50, 50]",0.2,25,64,13.66784970000026,5.445290305397728,41.18876756876868,6.417847580674434
