experiment_name,model_type,num_layers,units,dropout,epochs,batch_size,train_time_sec,mae,mse,rmse
GRU_L3_E25_B64,GRU,3,"[50, 50, 50]",0.2,25,64,34.920270099999925,3.793255038054093,20.663437459276043,4.545705386326312
RNN_L3_E25_B64,RNN,3,"[50, 50, 50]",0.2,25,64,19.00354130000005,5.776203745966372,52.305277034730196,7.232238729102503
LSTM_L3_E25_B64,LSTM,3,"[50, 50, 50]",0.2,25,64,30.72938320000003,5.777555396038553,48.802501465013535,6.985878718172363
