Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2020-03-12,50.98426818847656,55.532537671800995,50.98426818847656,54.85393526086504,10247518
2020-03-13,53.60982894897461,53.60982894897461,46.17748321818383,48.85151284161518,17021972
2020-03-16,48.24561309814453,52.818117671984496,48.24561309814453,49.63513633464446,10752353
2020-03-17,54.64389419555664,54.85394046035555,48.2294582288829,48.24561587092551,11345264
2020-03-18,51.662879943847656,54.04607827741707,50.05522995829416,53.28668449011568,10404325
2020-03-19,49.239280700683594,55.338649479520704,48.835348952657895,53.47248677596497,10958660
2020-03-20,48.39910125732422,52.03449002114653,48.39910125732422,52.03449002114653,10756489
2020-03-23,43.83467102050781,46.694508476176445,43.172223214178416,46.62180063978641,10019723
2020-03-24,46.04822540283203,46.9207195739176,44.43249819571512,45.248439079336926,6944322
2020-03-25,50.41068649291992,50.41068649291992,46.759142895926885,50.08753984188325,7698259
2020-03-26,49.925968170166016,51.0650556842581,48.520287279629386,50.814619949076096,5841282
2020-03-27,46.58141326904297,51.53361781030549,46.58141326904297,51.121605664299345,12591507
2020-03-30,51.662879943847656,51.662879943847656,46.734909933766716,46.734909933766716,5825869
2020-03-31,49.94212341308594,55.08013598114606,49.27967556190886,52.18798305089336,9250686
2020-04-01,51.43667221069336,51.70326866901033,49.74015994019344,51.70326866901033,6392579
2020-04-02,49.47357177734375,50.32182800198616,48.21330336129298,49.48164905795232,8116112
2020-04-03,48.56067657470703,50.49146989022861,48.20521465435678,50.16832325022924,5466414
2020-04-06,50.46723556518555,50.88732496943013,48.875743429341334,49.35238303398857,4475626
2020-04-07,49.98251724243164,52.34148042353709,49.27967681307101,51.38012082158192,6689173
2020-04-08,48.318321228027344,49.48164365932082,47.914389443053295,48.471814196885695,7488425
2020-04-09,49.89365768432617,49.89365768432617,48.34256095506201,49.74016470020793,4265838
2020-04-14,50.69343948364258,50.69343948364258,49.118104891305876,49.8936531860161,4179847
2020-04-15,50.14408874511719,51.09736795106076,49.68360678245433,50.49147030737229,4472733
2020-04-16,49.489715576171875,49.489715576171875,48.58490933876932,48.85150576720526,5129177
2020-04-17,49.32815170288086,50.321823544500695,49.32007134123276,50.208723135467466,3484591
2020-04-20,48.37487030029297,49.756316232982364,48.37487030029297,49.27159933504903,3866241
2020-04-21,47.36503982543945,48.835351209665525,47.36503982543945,48.58491240488346,4261494
2020-04-22,47.865909576416016,48.43141460970348,46.5167790895381,47.16306923540041,4437856
2020-04-23,47.52661895751953,48.66570655555428,47.15499934460525,48.47181792787052,4443380
2020-04-24,47.567012786865234,48.10827995553477,47.25194645504204,47.300416301934675,4408844
2020-04-27,47.567012786865234,47.567012786865234,46.04822825520557,47.0580578222057,4215834
2020-04-28,47.3488883972168,48.57684149888695,46.856091084113395,47.744739854730696,4608913
2020-04-29,49.33622360229492,49.33622360229492,47.94669739884185,47.94669739884185,3903547
2020-04-30,50.64496612548828,50.838854738381514,49.489720973126616,49.9905986057029,5477696
2020-05-01,47.534690856933594,49.715923033122955,47.534690856933594,49.69168503130924,5231281
2020-05-04,48.37487030029297,48.56067854722591,46.86416324094948,47.36504086146946,3294801
2020-05-05,49.15849304199219,49.43316675693692,48.59299105394836,48.9565271657609,3811757
2020-05-06,48.75456237792969,49.03731646001852,48.374868617731764,48.87574313907559,2251545
