date,finbert_mean,finbert_sum,finbert_count
2025-01-15,-0.0968269016593695,-0.193653803318739,2
2025-01-18,0.8826386220753193,0.8826386220753193,1
2025-01-30,0.9333475213497876,0.9333475213497876,1
2025-02-10,-0.0067811999469995,-0.0067811999469995,1
2025-02-17,0.0485636051744222,0.0485636051744222,1
2025-02-19,0.6606042757630348,0.6606042757630348,1
2025-03-20,-0.0855478048324585,-0.0855478048324585,1
2025-03-24,-0.0631151683628559,-0.0631151683628559,1
2025-03-25,0.04232006939128035,0.0846401387825607,2
2025-03-27,-0.0142865143716335,-0.0142865143716335,1
2025-03-29,0.0188391357660293,0.0188391357660293,1
2025-04-03,-0.921361705288291,-0.921361705288291,1
2025-04-10,-0.0173202808946371,-0.0173202808946371,1
2025-04-22,-0.0291422512382268,-0.0291422512382268,1
2025-04-23,0.3369741542264819,0.3369741542264819,1
2025-04-26,0.0590515974909067,0.0590515974909067,1
2025-04-30,-0.2748112976551056,-0.2748112976551056,1
2025-05-03,0.0044185072183609,0.0044185072183609,1
2025-07-06,-0.7502362057566643,-0.7502362057566643,1
2025-07-08,-0.9378437865525484,-0.9378437865525484,1
2025-07-13,0.0313266441226005,0.0313266441226005,1
2025-07-15,-0.3995126485824585,-0.3995126485824585,1
2025-07-18,0.9246171452105044,0.9246171452105044,1
2025-08-01,-0.2198211085051298,-0.2198211085051298,1
2025-08-05,0.2277009934186935,0.2277009934186935,1
2025-08-07,-0.963405781891197,-0.963405781891197,1
2025-10-11,0.5641861632466316,0.5641861632466316,1
2025-10-12,0.15529813834776476,0.46589441504329426,3
2025-10-13,0.0947374729439616,0.3789498917758464,4
2025-12-31,-0.32111063734110856,-2.889995736069977,9
2026-01-01,-0.3051416968394603,-2.135991877876222,7
2026-04-01,0.6250818736984262,4.375573115888983,7
2026-04-02,0.3195814685896039,2.2370702801272273,7
