Date,Close,High,Low,Open,Volume
1/2/2020,63.10221862792969,63.37080908130597,62.715138590499166,63.03112487749714,
1/3/2020,63.44190598,64.13707704657112,63.39451013937159,63.963284278763794,
1/6/2020,63.01532745361328,63.10222384038909,62.588752861907196,62.98373424654719,
1/7/2020,64.14496612548828,64.14496612548828,63.33920686,63.84478248183851,
1/8/2020,63.90797424316406,64.18445994214296,63.22070462547115,64.16076202893566,
1/9/2020,64.37406921386719,64.650555,64.12128134979744,64.38197053,
1/10/2020,65.17192840576172,65.17192840576172,64.46491437975783,64.48465863,
1/13/2020,65.15612030029297,65.23511535781599,64.56364832846549,64.85593064399431,
1/14/2020,65.70121002197266,65.97769582,65.38522367065045,65.53531854358964,
1/15/2020,66.08828735351562,66.17517771227914,65.64590410987262,65.64590410987262,
1/16/2020,66.72025299072266,66.72025299072266,66.26207315029491,66.35687085,
1/17/2020,66.39637756347656,67.1152406,66.36477832738132,66.94144781,
1/20/2020,66.30158233642578,66.67286584076705,66.22258725670042,66.35687949492736,1980399
1/21/2020,65.94609832763672,66.26207863150935,65.72490367721271,66.26207863150935,1923944
1/22/2020,66.71236419677734,66.79926059754499,65.95400053939126,65.96190185589884,3656698
1/23/2020,66.76765441894531,67.10733867020318,66.56226843,66.70446197426834,2105704
1/24/2020,67.09943389892578,67.46281602,66.96513565898863,67.06783466758394,2839291
1/28/2020,66.37265778,66.41215831830537,65.99347908710585,66.11986997438467,2273413
1/29/2020,66.83874512,67.03623579392497,66.48326431,66.70445290347092,1877335
1/30/2020,67.49443054199219,67.49443054199219,66.89405706,67.02044799141491,3176161
1/31/2020,67.35222625732422,67.91309909079527,67.06783918303783,67.59711278303956,6713764
2/3/2020,66.79135131835938,67.10733158921676,66.40426524,66.47536502056465,2139581
2/4/2020,66.60175323486328,66.90194291777166,66.32921513935418,66.67285301179209,2564013
2/5/2020,65.78810119628906,67.14683818024646,65.78810119628906,67.14683818024646,3166202
2/6/2020,66.53855895996094,66.63335062399607,65.96188355368723,66.30156774599926,3581220
2/7/2020,66.98884582519531,66.98884582519531,66.31737264394874,66.84665228441739,3368097
2/10/2020,66.60967254638672,66.94145552319864,66.42008313491401,66.94145552319864,1818742
2/11/2020,66.92565155029297,67.14684017715469,66.76765536900741,66.98885002,1913033
2/12/2020,69.65892791748047,69.95911165,68.09479874,68.09479874,7132862
2/13/2020,70.09340668,70.09340668,69.41403814,69.90381125291765,4143011
2/14/2020,71.87870025634766,71.92610211394187,70.54366746835655,70.62266252843122,7942600
2/17/2020,70.67005920410156,71.79180474061027,70.50416776788015,71.72071099377403,2619663
2/18/2020,71.30204010009766,71.30204010009766,70.76486518,70.94655324345597,3817424
2/19/2020,70.95466613769531,71.21318226017124,70.68806965290469,71.10008184180742,8050978
2/20/2020,70.97081756591797,71.17278347029651,70.61536176539872,70.95466301,2902590
2/21/2020,71.73829650878906,71.73829650878906,70.71230619421522,70.97082232,2506023
2/24/2020,71.08391571044922,71.08391571044922,70.60727914981396,70.77692976445583,2432907
2/25/2020,70.12256622314453,70.51033731770445,69.35509207,69.71863440426354,3475833
2/26/2020,68.95115661621094,69.51666483094546,68.72495579572117,68.93500205625172,3362264
2/27/2020,68.20792388916016,69.18543810402869,67.64242184,68.76535174462218,4435151
2/28/2020,66.06707000732422,66.72143741,65.65505793418693,66.44676680379301,7654504
3/2/2020,65.00877380371094,65.25112914431885,63.61924766,64.66947263,4714534
3/3/2020,63.91008758544922,66.20441716826552,63.89392686246606,65.84088102677319,4537570
3/4/2020,62.29435348510742,63.33649811475206,61.80155626883727,63.15068680226118,4610814
3/5/2020,62.00352478027344,63.25571569400848,61.71269342177381,63.13453493404872,5804404
3/6/2020,59.72536087036133,60.99370657511806,59.72536087036133,60.85637123160869,4995332
3/9/2020,55.86375427246094,58.133848410647595,55.86375427246094,57.358300301126626,7669261
3/10/2020,59.272953033447266,59.27295303344727,53.11703034017823,54.55502652520321,8874773
3/11/2020,55.33865737915039,59.37797543602268,55.33865737915039,59.03059383659126,8171997
3/12/2020,50.98426818847656,55.532537671800995,50.98426818847656,54.85393526086504,10247518
3/13/2020,53.60981750488281,53.60981750488281,46.17747336,48.85150241328126,17021972
3/16/2020,48.24561309814453,52.818117671984496,48.24561309814453,49.63513633464446,10752353
3/17/2020,54.643890380859375,54.85393663099493,48.22945486197823,48.24561250289288,11345264
3/18/2020,51.66287612915039,54.046074286748585,50.05522626230298,53.28668055551952,10404325
3/19/2020,49.23927688598633,55.33864519228922,48.83534516925429,53.47248263331004,10958660
3/20/2020,48.39910125732422,52.03449002114653,48.39910125732422,52.03449002114653,10756489
3/23/2020,43.834678649902344,46.69451660332373,43.17223072827436,46.62180875427894,10019723
3/24/2020,46.048221588134766,46.92071568694174,44.43249451486688,45.24843533089504,6944322
3/25/2020,50.41068649291992,50.41068649291992,46.759142895926885,50.08753984188325,7698259
3/26/2020,49.925968170166016,51.06505568,48.520287279629386,50.814619949076096,5841282
3/27/2020,46.58141326904297,51.53361781030549,46.58141326904297,51.121605664299345,12591507
3/30/2020,51.66287612915039,51.66287612915039,46.73490648294219,46.73490648294219,5825869
3/31/2020,49.942115783691406,55.080127566844475,49.27966803371299,52.18797507841071,9250686
4/1/2020,51.436668395996094,51.70326483454147,49.740156251314595,51.70326483454147,6392579
4/2/2020,49.47356414794922,50.32182024178075,48.213295926246346,49.48164142731217,8116112
4/3/2020,48.56068039,50.491473856599875,48.20521844113063,50.16832719121564,5466414
4/6/2020,50.46723556518555,50.88732496943013,48.875743429341334,49.35238303398857,4475626
4/7/2020,49.98250961303711,52.34147243406744,49.279669290958935,51.380112978855415,6689173
4/8/2020,48.31831741333008,49.48163975278007,47.91438566024616,48.47181037007027,7488425
4/9/2020,49.893653869628906,49.893653869628906,48.342557258956255,49.7401609,4265838
4/14/2020,50.69343948364258,50.69343948364258,49.118104891305876,49.89365319,4179847
4/15/2020,50.14409255981445,51.09737183827847,49.68361056212056,50.49147414849651,4472733
4/16/2020,49.48971939086914,49.48971939086914,48.58491308372357,48.851509532708924,5129177
4/17/2020,49.328155517578125,50.32182743604165,49.320075155305155,50.20872701826202,3484591
